ENSEMBL	logFC	logCPM	F	PValue	FDR	SYMBOL
ENSG00000213713	-0.72343676966902	2.93195425472419	19.2856131927918	6.63563946723079e-05	0.000149783365810447	
ENSG00000260388	1.12019267881383	-0.0863548588484111	19.2838383186246	6.63996824355326e-05	0.000149867896377446	LINC00562
ENSG00000282757	0.990862124982504	0.151462552567353	19.278879130667	6.6520789965093e-05	0.00015012804031429	DUXB
ENSG00000111716	-0.826979435719659	4.73962878283981	19.2769731607178	6.65673968953961e-05	0.000150220015943053	LDHB
ENSG00000179131	-0.820071612855566	-0.00499850918765233	19.2694721282325	6.67511531522111e-05	0.000150621447657069	RPL31P38
ENSG00000254685	0.600328034150348	3.52065131870234	19.2686256026158	6.67719242288099e-05	0.000150655071238014	FPGT
ENSG00000253015	0.993043935370873	-0.437748359488366	19.2680380994273	6.67863436902154e-05	0.000150668225246486	RN7SKP64
ENSG00000198886	2.0423071188038	12.0691976708434	19.2679097058824	6.67894953683721e-05	0.000150668225246486	ND4
ENSG00000221949	-0.804725737242922	0.88236731806016	19.2674106094565	6.68017481756383e-05	0.000150682621456122	LINC01465
ENSG00000007001	-1.29949039987491	1.70174072157068	19.2660880632937	6.6834228047797e-05	0.000150742636685711	UPP2
ENSG00000267649	0.932061991509106	0.201560264236442	19.2658361165843	6.68404173803419e-05	0.000150743349039233	
ENSG00000196421	-1.21304292360722	1.91946755429836	19.2641651755753	6.68814809829237e-05	0.0001508227053358	C20orf204
ENSG00000084652	0.632349652571465	6.39430834314626	19.2513501838539	6.71972911779014e-05	0.000151521567218489	TXLNA
ENSG00000203855	-1.64032949019817	0.786300819441614	19.2504955486456	6.72184081403099e-05	0.000151555867954059	
ENSG00000276172	-0.684090295838024	0.339742613833377	19.241231291311	6.74477629946953e-05	0.000152059630820349	
ENSG00000254415	2.03429049360134	1.78486813235667	19.2371153886285	6.75499231551892e-05	0.00015227657248818	SIGLEC14
ENSG00000126698	-0.429712140275812	4.46339108079617	19.2357490958898	6.75838715188778e-05	0.000152339720932022	DNAJC8
ENSG00000111783	1.80040941248247	6.28813505761005	19.2320021153646	6.76770647501816e-05	0.000152536389462845	RFX4
ENSG00000275557	0.831353788920287	1.06140906941244	19.2278170606211	6.77813127615518e-05	0.000152757937480262	
ENSG00000187479	-1.44772851388138	2.47201824920791	19.2275132456897	6.77888872152638e-05	0.000152761593676332	C11orf96
ENSG00000100034	-1.10294261060501	4.95697000856761	19.2260844769341	6.78245199482238e-05	0.000152828472736713	PPM1F
ENSG00000187556	-1.27470364428123	1.12692632102027	19.225489674326	6.7839359793808e-05	0.000152848491713465	NANOS3
ENSG00000165527	0.585360137853069	5.35788226587927	19.2239733514684	6.78772062193891e-05	0.000152920338625406	ARF6
ENSG00000279106	1.35679832780461	-0.411802989529521	19.2222604068214	6.79199868080996e-05	0.000153003288109355	
ENSG00000272768	0.820099410437381	0.269934190192022	19.2200134855386	6.79761462366996e-05	0.000153116358887563	
ENSG00000100284	-0.83008760488682	5.29373374606235	19.2164251156073	6.80659346738542e-05	0.000153305152558532	TOM1
ENSG00000205809	3.25773849973648	2.29685920434345	19.2149868428061	6.81019581106418e-05	0.000153372828616148	KLRC2
ENSG00000237732	-1.90927472072808	0.392495162711016	19.2128549649407	6.81553905520018e-05	0.000153479696281225	CT75
ENSG00000218208	-1.48001675935822	1.04000548289887	19.2087576915826	6.82582061631196e-05	0.000153697741812289	RPS27AP11
ENSG00000100099	-0.374798247336464	5.80845552184103	19.202668991738	6.8411294247319e-05	0.00015402893822769	HPS4
ENSG00000249621	1.68150960327872	-0.0560957391645008	19.1983267901928	6.85206898781142e-05	0.000154261711028228	
ENSG00000258986	-2.13761821946473	4.35601857876506	19.1965525225066	6.85654427777061e-05	0.000154335139641332	TMEM179
ENSG00000261633	1.34804400998739	0.0239156570867415	19.1963566864123	6.85703842880933e-05	0.000154335139641332	
ENSG00000064651	-0.803208322467588	7.57248718143337	19.1963185712436	6.85713460872827e-05	0.000154335139641332	SLC12A2
ENSG00000112624	-0.40685442978936	5.88912903734156	19.1945400294822	6.86162415796771e-05	0.000154422644698563	BICRAL
ENSG00000259314	0.881734324164416	0.00353286356750158	19.1899027657717	6.87334443045305e-05	0.000154672849458639	
ENSG00000117036	0.365588419238745	5.12679480243302	19.1896515355565	6.87397999118421e-05	0.00015467358975429	ETV3
ENSG00000204231	-0.324882126604855	5.62150685509991	19.188367284141	6.87722984494176e-05	0.000154733149794363	RXRB
ENSG00000243313	1.25740461936989	-0.294792672751488	19.1792065887545	6.90045812770419e-05	0.0001552421615073	RN7SL285P
ENSG00000230552	1.8933325966608	0.615011706020366	19.1777550030058	6.90414637377962e-05	0.000155311523080948	
ENSG00000258701	1.06336289239384	0.235278573449734	19.1768617456962	6.90641702356892e-05	0.000155348985898244	LINC00638
ENSG00000271410	0.659826975685211	0.406876238957486	19.1759331513045	6.90877832931142e-05	0.000155388481133799	LOC100419851
ENSG00000025039	-0.638669346092955	6.15239413305816	19.1735254105302	6.91490487037663e-05	0.000155512647650032	RRAGD
ENSG00000182872	-0.533431204408272	5.83382339579043	19.168078258352	6.92878626595672e-05	0.000155811179808796	RBM10
ENSG00000107175	-0.511658097631501	5.3245470419658	19.1673300415654	6.93069528363634e-05	0.00015584045422685	CREB3
ENSG00000260288	-1.18250703526423	-0.450454322669444	19.1659877867479	6.93412132494622e-05	0.000155903831629211	
ENSG00000241852	0.799434313414894	2.41788819668465	19.1648616528019	6.93699709695279e-05	0.000155954826991322	C8orf58
ENSG00000240499	-1.49336254991002	2.82186928529082	19.1621225050115	6.94399718806301e-05	0.000156098526610876	
ENSG00000114948	-0.979757519366253	6.88316053939442	19.1601922954384	6.94893442381432e-05	0.000156195832884213	ADAM23
ENSG00000230207	-1.24498375625994	3.62111842241279	19.1586733902748	6.95282217999276e-05	0.000156269534328325	RPL4P5
ENSG00000129292	0.44142993497098	6.77627139076981	19.1483596460639	6.9792813620917e-05	0.000156850487003576	PHF20L1
ENSG00000115761	0.435414725100692	5.42581231780145	19.1474686473575	6.9815721017048e-05	0.000156888230444141	NOL10
ENSG00000164897	-1.2030560455995	2.77453861823319	19.1429578587493	6.99318134343379e-05	0.000157135352109287	TMUB1
ENSG00000053108	-2.37623469772756	4.43974563733426	19.1410373681832	6.9981301728298e-05	0.000157232785507902	FSTL4
ENSG00000259010	-0.71377631547527	0.0620285006230138	19.1373110013767	7.00774295707662e-05	0.000157434981611845	
ENSG00000270604	-1.0761506159546	0.798092935714546	19.1314546668795	7.02287831511412e-05	0.00015776120083799	HCG17
ENSG00000213062	-1.00874140235157	0.706009987674592	19.1276576743445	7.0327097221211e-05	0.000157968225991806	
ENSG00000213699	0.505984964088801	5.41487412130456	19.1269645616284	7.03450592816948e-05	0.000157994744593043	SLC35F6
ENSG00000122692	-0.401090776316559	5.46493959351798	19.1243240775472	7.04135316448889e-05	0.00015813469458051	SMU1
ENSG00000124181	0.568898840668035	7.85584401217683	19.1139510726269	7.06831985428209e-05	0.000158726423186762	PLCG1
ENSG00000223873	-0.673545802273166	1.77413665110186	19.1059667705465	7.08915032692969e-05	0.000159180265214917	
ENSG00000239642	-1.41953473023648	0.682480068538642	19.1049638665962	7.0917713749969e-05	0.000159225187944445	MEIKIN
ENSG00000135916	-1.01631280831574	8.52725733055535	19.1046459922286	7.09260233843259e-05	0.000159229915164339	ITM2C
ENSG00000228423	0.962967574202068	0.465067885829512	19.101274063152	7.10142326713895e-05	0.00015941400170657	
ENSG00000141314	-1.21599613633396	4.77896692186152	19.1006435415524	7.1030739798431e-05	0.000159437111852959	RHBDL3
ENSG00000260280	0.693363056096837	0.790447995396358	19.0969280173183	7.11280943289368e-05	0.00015964167389175	SLX1B-SULT1A4
ENSG00000111052	-1.30719868918581	5.48173586032877	19.0951201836197	7.11755139177879e-05	0.000159734134723682	LIN7A
ENSG00000260260	-1.14669511407148	1.42322612524339	19.0894736192457	7.13238370678022e-05	0.000160046493176337	SNHG19
ENSG00000255837	0.88153800837985	1.499459742989	19.0893469212155	7.13271688661967e-05	0.000160046493176337	TAS2R20
ENSG00000273055	2.0619034097083	0.517713815787052	19.086618565932	7.13989564438614e-05	0.0001601935673688	
ENSG00000164051	-0.60619709458526	2.91485155765001	19.0831296410422	7.14908661933735e-05	0.000160385758815816	CCDC51
ENSG00000126804	0.648545203655499	5.22924573440794	19.0767474732981	7.16593144080295e-05	0.00016074961142226	ZBTB1
ENSG00000148926	1.99603375071271	4.02198153034771	19.0760351163483	7.16781418363949e-05	0.000160777793238164	ADM
ENSG00000204072	0.524410514647893	2.04747393297956	19.0733423831215	7.17493569872294e-05	0.000160923468240605	
ENSG00000234558	-0.415492992644041	4.34543607007512	19.0708193235157	7.18161520307621e-05	0.000161057784109116	
ENSG00000261647	-1.94109204581332	1.29827868496355	19.0706063268661	7.18217938487759e-05	0.000161057784109116	
ENSG00000116690	2.57693112028829	1.86789087219897	19.0685476967642	7.18763464239187e-05	0.00016116603450724	PRG4
ENSG00000163959	0.590394898445263	2.23610575223775	19.0624117224243	7.20392041072722e-05	0.000161517093859801	SLC51A
ENSG00000247675	1.42493352814029	0.732685880885654	19.0590054294805	7.21297789282001e-05	0.000161706042644327	LRP4-AS1
ENSG00000267778	-1.36926503678871	-0.559546826742883	19.0563189874365	7.22012967580649e-05	0.000161852238736635	
ENSG00000151552	-1.48450983128273	7.05964386660593	19.0545280139773	7.22490169087984e-05	0.000161945067158455	QDPR
ENSG00000284726	0.788220739558854	1.40700351881726	19.0457168322089	7.24842708946689e-05	0.000162458196883388	
ENSG00000273033	0.48818866591992	3.64404784660484	19.0369282389373	7.27197214593806e-05	0.000162971677545844	LINC02035
ENSG00000254133	0.825107690286851	0.847013811180986	19.034466428064	7.27858181132653e-05	0.000163105563771672	
ENSG00000182108	0.712433423764345	2.99916930474688	19.0337633716816	7.28047058829117e-05	0.000163133645581013	DEXI
ENSG00000229951	1.54948470662441	-0.162938951745605	19.0306813370333	7.28875660688379e-05	0.000163305053090941	FLJ31356
ENSG00000101680	1.50767850392083	5.31148887075073	19.0281393251221	7.29559821568035e-05	0.000163440443767383	LAMA1
ENSG00000090520	0.700925951392044	4.90227705228234	19.0279629691975	7.29607311218745e-05	0.000163440443767383	DNAJB11
ENSG00000237934	1.07438941350866	-0.292978620895037	19.0256180113526	7.30239076442912e-05	0.000163567689796713	
ENSG00000259562	0.587765118321386	0.927553506152958	19.0194431203181	7.31905424038174e-05	0.000163926631538003	
ENSG00000147421	0.452773872222286	6.49512131199811	19.0175708435956	7.32411460866836e-05	0.000164025655699366	HMBOX1
ENSG00000183207	-0.888996250951059	5.44220244220702	19.0073812854758	7.35171917268967e-05	0.000164629502283466	RUVBL2
ENSG00000110723	-1.91440915286821	5.314387613986	18.9984675335124	7.37595684348286e-05	0.000165157854116199	EXPH5
ENSG00000131019	1.31020727086502	1.15700928364125	18.9970793887391	7.37973892124734e-05	0.000165228124761243	ULBP3
ENSG00000243071	-1.2149479873036	-0.0638112188259172	18.9920028411776	7.3935875709257e-05	0.000165523748262219	RPL21P98
ENSG00000259920	1.86385980445437	-0.161630568193934	18.990397150134	7.39797350816032e-05	0.000165607492443903	
